forecast_date,target,horizon,q0.025,q0.25,q0.5,q0.75,q0.975
2024-01-24,DAX,1 day,-3.243185235826811,-0.5245789269112233,0.06863130775389692,0.7182735554396302,2.719772003602724
2024-01-24,DAX,2 day,-4.069266862760927,-0.7949495843404097,0.09424036225427201,0.9789771416987225,3.5704923267932855
2024-01-24,DAX,5 day,-5.1851871439034,-0.8895031297358358,0.1630195326491446,1.2406658491904476,4.628696965151875
2024-01-24,DAX,6 day,-6.282628800683585,-0.9851817312860334,0.19726537875230932,1.43708696974012,5.367396415217598
2024-01-24,DAX,7 day,-6.735741964137194,-1.0367623317132146,0.3333803107513411,1.5663277738384274,6.259934085874841
2024-01-24,energy,36 hour,64.79061889648438,72.93862915039062,74.0580062866211,76.61581420898438,76.46923828125
2024-01-24,energy,40 hour,61.82128143310547,68.36837768554688,70.84178924560547,71.91161346435547,72.9775390625
2024-01-24,energy,44 hour,61.202186584472656,66.18856048583984,67.15147399902344,68.73113250732422,68.22410583496094
2024-01-24,energy,60 hour,58.638282775878906,58.74357604980469,59.2087287902832,62.906307220458984,65.53160095214844
2024-01-24,energy,64 hour,56.063377380371094,56.294219970703125,55.012840270996094,58.5500602722168,62.635169982910156
2024-01-24,energy,68 hour,54.81191635131836,55.6996955871582,55.10511779785156,57.55611801147461,59.620506286621094
2024-01-24,infections,0 week,NA,NA,NA,NA,NA
2024-01-24,infections,1 week,NA,NA,NA,NA,NA
2024-01-24,infections,2 week,NA,NA,NA,NA,NA
2024-01-24,infections,3 week,NA,NA,NA,NA,NA
2024-01-24,infections,4 week,NA,NA,NA,NA,NA
