forecast_date,target,horizon,q0.025,q0.25,q0.5,q0.75,q0.975
2023-12-06,DAX,1 day,-2.5392749231541876,-0.46285190790961994,0.01813217845057986,0.5349197295794759,2.052157504231742
2023-12-06,DAX,2 day,-2.3282159154233146,0.08914833683959933,0.7694787832716198,1.388007995334672,3.342556156078113
2023-12-06,DAX,5 day,-2.9622635749869306,0.05872044738963467,0.8240473326101602,1.5145208669648085,3.809964928970661
2023-12-06,DAX,6 day,-2.517412017518784,0.9745008213235671,1.8867395901763737,2.663448586482286,5.192590968848277
2023-12-06,DAX,7 day,-2.4314795682046353,1.2314183013890883,2.2139200855160164,2.9819078220422064,5.955982352039879
2023-12-06,energy,36 hour,40.575501774562554,49.12638750618919,53.263308642514545,55.99242991071753,58.493250574138074
2023-12-06,energy,40 hour,51.49950142086061,61.81603339744936,65.8858087744774,70.39303554960554,75.1105017634327
2023-12-06,energy,44 hour,49.89575015658306,58.134720064769624,61.228503427201446,64.17085723216917,67.52575019658252
2023-12-06,energy,60 hour,39.58175204709346,47.257165142045324,51.414433826591335,54.563751033088465,57.74075130693382
2023-12-06,energy,64 hour,50.50575169339152,59.946811033305494,64.03693395855419,68.96435667197647,74.35800249622844
2023-12-06,energy,68 hour,48.90200042911397,56.26549770062576,59.379628611278235,62.7421783545401,66.77325092937826
2023-12-06,infections,0 week,NA,NA,NA,NA,NA
2023-12-06,infections,1 week,NA,NA,NA,NA,NA
2023-12-06,infections,2 week,NA,NA,NA,NA,NA
2023-12-06,infections,3 week,NA,NA,NA,NA,NA
2023-12-06,infections,4 week,NA,NA,NA,NA,NA
