forecast_date,target,horizon,q0.025,q0.25,q0.5,q0.75,q0.975
2023-11-22,DAX,1 day,-2.2312864857169914,-0.4925098872930304,0.03861325836025813,0.5142651285787745,1.7174980022895603
2023-11-22,DAX,2 day,-2.5505577054830075,-0.6771477648873132,-0.0176474065459909,0.44635215260206224,1.944123313345741
2023-11-22,DAX,5 day,-2.9619568093949282,-1.0041998590167829,-0.2985036410009561,0.20942084828935964,1.6123411845760143
2023-11-22,DAX,6 day,-1.564661299445691,0.4259683021046259,1.1789705147129164,1.7186499181537402,3.2081021228878823
2023-11-22,DAX,7 day,-1.0060557554624396,0.8239850993375973,1.5799589889696926,2.1071295267460233,3.7102351526457333
2023-11-22,energy,36 hour,39.60860017133291,47.27180091442642,51.406609433821814,54.55411193173131,57.76374874452449
2023-11-22,energy,40 hour,50.627497003685676,59.956350744788324,64.02707347823025,68.89404285613273,74.30774913954974
2023-11-22,energy,44 hour,48.891098732159435,56.25315031031437,59.36339950292904,62.73843044586101,66.79499949462934
2023-11-22,energy,60 hour,38.61870045403953,45.39875087054634,49.5609654576466,53.123293216502134,57.0109988844672
2023-11-22,energy,64 hour,49.63759728639229,58.08330070090824,62.18142950205504,67.46322414090355,73.55499927949245
2023-11-22,energy,68 hour,47.90119901486605,54.38010026643428,57.51775552675383,61.307611730631834,66.04224963457204
2023-11-22,infections,0 week,NA,NA,NA,NA,NA
2023-11-22,infections,1 week,NA,NA,NA,NA,NA
2023-11-22,infections,2 week,NA,NA,NA,NA,NA
2023-11-22,infections,3 week,NA,NA,NA,NA,NA
2023-11-22,infections,4 week,NA,NA,NA,NA,NA
